"","BASIN","PROG_CODE","SITE_NAME","COL_DATE","COL_TIME","Lat","Long","huc08","dt","year","Total_N"
"660","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC678","6/1/15",1445,38.91351,-95.29366,10270104,4232.24519675926,2015,1.369
"661","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC678","9/1/15",1513,38.91351,-95.29366,10270104,4324.2646412037,2015,0.635
"662","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC678","12/1/15",1510,38.91351,-95.29366,10270104,4415.26255787037,2015,1.405
"663","MISSOURI RIVER BASIN","SC","SC682","1/5/15",1328,39.78364,-96.04983,10240007,4085.19172453704,2015,3.658
"664","MISSOURI RIVER BASIN","SC","SC682","4/20/15",1444,39.78364,-96.04983,10240007,4190.24450231481,2015,1.69
"665","MISSOURI RIVER BASIN","SC","SC682","4/20/15",1449,39.78364,-96.04983,10240007,4190.24797453704,2015,1.67
"666","MISSOURI RIVER BASIN","SC","SC682","7/13/15",1430,39.78364,-96.04983,10240007,4274.23478009259,2015,3.885
"667","MISSOURI RIVER BASIN","SC","SC682","10/12/15",1431,39.78364,-96.04983,10240007,4365.23547453704,2015,2.125
"668","MISSOURI RIVER BASIN","SC","SC682","10/12/15",1436,39.78364,-96.04983,10240007,4365.23894675926,2015,1.985
"669","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC683","1/5/15",913,39.36338,-95.28536,10270104,4085.0146412037,2015,4.627
"670","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC683","4/20/15",908,39.36338,-95.28536,10270104,4190.01116898148,2015,1.848
"671","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC683","7/13/15",936,39.36338,-95.28536,10270104,4274.03061342593,2015,3.625
"672","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC683","7/13/15",941,39.36338,-95.28536,10270104,4274.03408564815,2015,3.625
"673","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC683","10/12/15",950,39.36338,-95.28536,10270104,4365.04033564815,2015,1.595
"674","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC684","4/20/15",1755,39.24527,-95.58252,10270103,4190.3771412037,2015,0.825
"675","KANSAS/LOWER REPUBLICAN RIVER BASIN","SC","SC684","7/13/15",1740,39.24527,-95.58252,10270103,4274.36672453704,2015,0.925
"676","NEOSHO RIVER BASIN","SC","SC689","2/3/15",1058,38.36188,-96.45502,11070203,4114.08755787037,2015,0.335
"677","NEOSHO RIVER BASIN","SC","SC689","5/27/15",1109,38.36188,-96.45502,11070203,4227.09519675926,2015,0.825
"678","NEOSHO RIVER BASIN","SC","SC689","8/4/15",1101,38.36188,-96.45502,11070203,4296.0896412037,2015,0.745
"679","NEOSHO RIVER BASIN","SC","SC689","11/9/15",1114,38.36188,-96.45502,11070203,4393.09866898148,2015,0.435
"680","MARAIS DES CYGNES RIVER BASIN","SC","SC692","3/18/15",1438,38.630439,-95.333168,10290101,4157.24033564815,2015,0.635
"681","MARAIS DES CYGNES RIVER BASIN","SC","SC692","6/16/15",1430,38.630439,-95.333168,10290101,4247.23478009259,2015,1.545
"682","MARAIS DES CYGNES RIVER BASIN","SC","SC692","9/15/15",1509,38.630439,-95.333168,10290101,4338.26186342593,2015,0.845
"683","MARAIS DES CYGNES RIVER BASIN","SC","SC692","12/8/15",1359,38.630439,-95.333168,10290101,4422.21325231481,2015,2.325
