Scat,Site,Season,Year,Pack,Lat,Long,Bird,Carnivore,Domestic_cattle,Insect,Leporid,Other,Plant_matter,Reptile,Seeds_berries,Sciurid,Small_mammal,Trash,Ungulate,Ungulate_spp,Ungulate_age
752,MV,Winter,2019,Out,48.62653,-119.978,0,0,0,0,100,0,0,0,0,0,0,0,0,NONE,NONE
753,MV,Winter,2019,Out,48.61977,-119.98,0,0,20,0,10,0,40,0,0,0,0,0,30,Deer,A
755,MV,Winter,2019,Out,48.61618,-119.964,0,0,0,0,97,0,1,0,0,0,0,0,2,Deer,A
756,MV,Winter,2019,Out,48.61811,-119.953,0,0,0,0,99,0,0,0,0,0,0,0,1,Deer,A
757,MV,Winter,2019,Out,48.61817,-119.952,0,0,0,0,99,0,1,0,0,0,0,0,0,NONE,NONE
758,MV,Winter,2019,Out,48.61321,-119.939,0,0,0,0,87,0,1,0,0,0,12,0,0,NONE,NONE
759,MV,Winter,2019,In,48.60068,-119.927,0,0,0,0,15,0,0,0,0,0,0,0,85,Deer,A
760,MV,Winter,2019,Out,48.61089,-120.011,0,0,0,0,12,0,58,0,0,0,30,0,0,NONE,NONE
761,MV,Winter,2019,Out,48.60046,-119.944,0,0,0,0,100,0,0,0,0,0,0,0,0,NONE,NONE
765,MV,Winter,2019,Out,48.65379,-119.975,0,0,0,0,0,0,7,0,0,0,93,0,0,NONE,NONE
766,MV,Winter,2019,Out,48.61129,-120.027,0,0,0,0,99,0,1,0,0,0,0,0,0,NONE,NONE
767,MV,Winter,2019,Out,48.60507,-120.079,0,0,0,0,0,0,12,0,0,0,0,0,88,Deer,A
794,MV,Winter,2019,Out,48.61158,-120.026,0,0,0,0,97,0,3,0,0,0,0,0,0,NONE,NONE
84,MV,Summer,2018,Out,48.40317,-119.955,0,0,0,7,0,0,10,0,0,0,3,0,80,Deer,A
85,MV,Summer,2018,Out,48.40091,-120.042,0,0,0,0,0,0,5,0,93,0,0,0,2,Deer,Y
100,MV,Summer,2018,Out,48.35863,-119.91235,0,0,1,5,0,0,20,0,0,0,64,0,10,Deer,Y
231,MV,Summer,2018,Out,48.48457,-120.1291,1,0,0,1,0,0,15,10,0,0,3,1,69,Deer,A
276,MV,Summer,2018,Out,48.87538,-119.715,12,0,0,1,0,0,9,0,0,0,75,0,3,Deer,A
318,MV,Summer,2018,Out,48.62158,-120.27954,0,0,0,4,82,0,4,0,0,0,10,0,0,NONE,NONE
